title,company,location,date_posted,job_url,scraped_at
Python Developer,Capgemini,"New York, United States",2025-04-30,https://www.linkedin.com/jobs/view/python-developer-at-capgemini-4218326468?position=1&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=kWMAqXl1qX%2Fu7ydr7PA%2BTg%3D%3D,2025-05-25 05:01:31
Backend Developer (Python),Adapty.io,United States,2025-02-05,https://www.linkedin.com/jobs/view/backend-developer-python-at-adapty-io-4144057510?position=2&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=EwMqUK97GlqiruPniDTVlg%3D%3D,2025-05-25 05:01:31
Senior Python Engineer,Primer.ai,"San Francisco, CA",2025-05-09,https://www.linkedin.com/jobs/view/senior-python-engineer-at-primer-ai-4203504765?position=3&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=z4toKHLMvkNmk25gY1R%2B5g%3D%3D,2025-05-25 05:01:31
"Associate Software Engineer, Backend Python",PayPal,"San Jose, CA",2025-04-22,https://www.linkedin.com/jobs/view/associate-software-engineer-backend-python-at-paypal-4210753612?position=4&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=Yd7rhiun7UYi9FFS1VnurA%3D%3D,2025-05-25 05:01:31
"Software Engineer, Backend Python",PayPal,"San Jose, CA",2025-04-24,https://www.linkedin.com/jobs/view/software-engineer-backend-python-at-paypal-4210778790?position=5&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=smIbATlVHHl8t7RzmF9HpQ%3D%3D,2025-05-25 05:01:31
Python Developer,hackajob,"Philadelphia, PA",2025-05-12,https://www.linkedin.com/jobs/view/python-developer-at-hackajob-4228516580?position=6&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=2EK6WXGa7Zqoew01o%2BJmxA%3D%3D,2025-05-25 05:01:31
Python Developer,Capgemini,New York City Metropolitan Area,2025-05-02,https://www.linkedin.com/jobs/view/python-developer-at-capgemini-4221460462?position=7&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=P8bhqgAWg4khrbYc5uWzhw%3D%3D,2025-05-25 05:01:31
Jr. Software Engineer - Python,"Liquid Advertising, Inc.","Ann Arbor, MI",2025-04-12,https://www.linkedin.com/jobs/view/jr-software-engineer-python-at-liquid-advertising-inc-4225501366?position=8&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=oAFx3VD9zCWI1a%2Bc3u7i2Q%3D%3D,2025-05-25 05:01:31
Python Software Engineer,MORSE Corp,Greater Boston,2025-05-06,https://www.linkedin.com/jobs/view/python-software-engineer-at-morse-corp-4208452677?position=9&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=KsYp00NUB2nBCZYvezkUhw%3D%3D,2025-05-25 05:01:31
Junior Python Developer,Accenture Federal Services,"Chantilly, VA",2025-05-13,https://www.linkedin.com/jobs/view/junior-python-developer-at-accenture-federal-services-4228588322?position=10&pageNum=0&refId=G4I1i4l4GMfKZtqHoW%2F9yw%3D%3D&trackingId=fh3Yaxiamxrjy%2BaS%2FGMcVg%3D%3D,2025-05-25 05:01:31
